id,temporada,kind,zx,zy,xt
aaoycxwi9jny6flm4apz8a2uh,2025-2026,gen,3,5,0.02955
aaoycxwi9jny6flm4apz8a2uh,2025-2026,gen,3,6,0.00743
aaoycxwi9jny6flm4apz8a2uh,2025-2026,gen,3,7,0.0148
aaoycxwi9jny6flm4apz8a2uh,2025-2026,gen,4,0,0.00305
aaoycxwi9jny6flm4apz8a2uh,2025-2026,gen,4,2,0.02364
aaoycxwi9jny6flm4apz8a2uh,2025-2026,gen,4,3,0.04003
aaoycxwi9jny6flm4apz8a2uh,2025-2026,gen,4,4,0.01286
aaoycxwi9jny6flm4apz8a2uh,2025-2026,gen,4,5,0.03888
aaoycxwi9jny6flm4apz8a2uh,2025-2026,gen,4,6,0.04055
aaoycxwi9jny6flm4apz8a2uh,2025-2026,gen,4,7,0.0244
aaoycxwi9jny6flm4apz8a2uh,2025-2026,gen,5,1,0.00318
aaoycxwi9jny6flm4apz8a2uh,2025-2026,gen,5,2,0.00852
aaoycxwi9jny6flm4apz8a2uh,2025-2026,gen,5,3,0.01505
aaoycxwi9jny6flm4apz8a2uh,2025-2026,gen,5,4,0.02397
aaoycxwi9jny6flm4apz8a2uh,2025-2026,gen,5,5,0.03462
aaoycxwi9jny6flm4apz8a2uh,2025-2026,gen,5,6,0.06375
aaoycxwi9jny6flm4apz8a2uh,2025-2026,gen,5,7,0.02613
aaoycxwi9jny6flm4apz8a2uh,2025-2026,gen,6,1,0.01893
aaoycxwi9jny6flm4apz8a2uh,2025-2026,gen,6,2,0.06489
aaoycxwi9jny6flm4apz8a2uh,2025-2026,gen,6,3,0.02467
aaoycxwi9jny6flm4apz8a2uh,2025-2026,gen,6,4,0.09898
aaoycxwi9jny6flm4apz8a2uh,2025-2026,gen,6,5,0.05568
aaoycxwi9jny6flm4apz8a2uh,2025-2026,gen,6,6,0.04767
aaoycxwi9jny6flm4apz8a2uh,2025-2026,gen,6,7,0.03904
aaoycxwi9jny6flm4apz8a2uh,2025-2026,gen,7,0,0.01069
aaoycxwi9jny6flm4apz8a2uh,2025-2026,gen,7,2,0.03279
aaoycxwi9jny6flm4apz8a2uh,2025-2026,gen,7,3,0.01034
aaoycxwi9jny6flm4apz8a2uh,2025-2026,gen,7,4,0.02265
aaoycxwi9jny6flm4apz8a2uh,2025-2026,gen,7,5,0.04155
aaoycxwi9jny6flm4apz8a2uh,2025-2026,gen,7,6,0.07387
aaoycxwi9jny6flm4apz8a2uh,2025-2026,gen,7,7,0.03499
aaoycxwi9jny6flm4apz8a2uh,2025-2026,gen,8,0,0.00438
aaoycxwi9jny6flm4apz8a2uh,2025-2026,gen,8,3,0.04815
aaoycxwi9jny6flm4apz8a2uh,2025-2026,gen,8,4,-0.01295
