id,temporada,zx,zy,touches
14fw7p4fzaxprndgxnx0gxgbt,2025-2026,5,3,30
14fw7p4fzaxprndgxnx0gxgbt,2025-2026,5,4,30
14fw7p4fzaxprndgxnx0gxgbt,2025-2026,5,5,29
14fw7p4fzaxprndgxnx0gxgbt,2025-2026,5,6,14
14fw7p4fzaxprndgxnx0gxgbt,2025-2026,5,7,5
14fw7p4fzaxprndgxnx0gxgbt,2025-2026,6,0,23
14fw7p4fzaxprndgxnx0gxgbt,2025-2026,6,1,22
14fw7p4fzaxprndgxnx0gxgbt,2025-2026,6,2,29
14fw7p4fzaxprndgxnx0gxgbt,2025-2026,6,3,27
14fw7p4fzaxprndgxnx0gxgbt,2025-2026,6,4,21
14fw7p4fzaxprndgxnx0gxgbt,2025-2026,6,5,30
14fw7p4fzaxprndgxnx0gxgbt,2025-2026,6,6,8
14fw7p4fzaxprndgxnx0gxgbt,2025-2026,6,7,5
14fw7p4fzaxprndgxnx0gxgbt,2025-2026,7,0,16
14fw7p4fzaxprndgxnx0gxgbt,2025-2026,7,1,43
14fw7p4fzaxprndgxnx0gxgbt,2025-2026,7,2,45
14fw7p4fzaxprndgxnx0gxgbt,2025-2026,7,3,25
14fw7p4fzaxprndgxnx0gxgbt,2025-2026,7,4,25
14fw7p4fzaxprndgxnx0gxgbt,2025-2026,7,5,25
14fw7p4fzaxprndgxnx0gxgbt,2025-2026,7,6,13
14fw7p4fzaxprndgxnx0gxgbt,2025-2026,7,7,8
14fw7p4fzaxprndgxnx0gxgbt,2025-2026,8,0,16
14fw7p4fzaxprndgxnx0gxgbt,2025-2026,8,1,28
14fw7p4fzaxprndgxnx0gxgbt,2025-2026,8,2,43
14fw7p4fzaxprndgxnx0gxgbt,2025-2026,8,3,28
14fw7p4fzaxprndgxnx0gxgbt,2025-2026,8,4,18
14fw7p4fzaxprndgxnx0gxgbt,2025-2026,8,5,30
14fw7p4fzaxprndgxnx0gxgbt,2025-2026,8,6,17
14fw7p4fzaxprndgxnx0gxgbt,2025-2026,8,7,10
14fw7p4fzaxprndgxnx0gxgbt,2025-2026,9,0,11
14fw7p4fzaxprndgxnx0gxgbt,2025-2026,9,1,15
14fw7p4fzaxprndgxnx0gxgbt,2025-2026,9,2,19
14fw7p4fzaxprndgxnx0gxgbt,2025-2026,9,3,17
14fw7p4fzaxprndgxnx0gxgbt,2025-2026,9,4,16
14fw7p4fzaxprndgxnx0gxgbt,2025-2026,9,5,14
14fw7p4fzaxprndgxnx0gxgbt,2025-2026,9,6,3
14fw7p4fzaxprndgxnx0gxgbt,2025-2026,9,7,1
14fw7p4fzaxprndgxnx0gxgbt,2025-2026,10,0,3
14fw7p4fzaxprndgxnx0gxgbt,2025-2026,10,1,4
14fw7p4fzaxprndgxnx0gxgbt,2025-2026,10,2,17
14fw7p4fzaxprndgxnx0gxgbt,2025-2026,10,3,30
14fw7p4fzaxprndgxnx0gxgbt,2025-2026,10,4,22
14fw7p4fzaxprndgxnx0gxgbt,2025-2026,10,5,12
14fw7p4fzaxprndgxnx0gxgbt,2025-2026,10,6,2
14fw7p4fzaxprndgxnx0gxgbt,2025-2026,10,7,3
14fw7p4fzaxprndgxnx0gxgbt,2025-2026,11,0,2
14fw7p4fzaxprndgxnx0gxgbt,2025-2026,11,1,2
14fw7p4fzaxprndgxnx0gxgbt,2025-2026,11,2,11
14fw7p4fzaxprndgxnx0gxgbt,2025-2026,11,3,8
14fw7p4fzaxprndgxnx0gxgbt,2025-2026,11,4,16
14fw7p4fzaxprndgxnx0gxgbt,2025-2026,11,5,5
14fw7p4fzaxprndgxnx0gxgbt,2025-2026,11,6,5
14fw7p4fzaxprndgxnx0gxgbt,2025-2026,11,7,4
17iz3i6kzdxc115bdlgcgqdck,2025-2026,0,0,3
17iz3i6kzdxc115bdlgcgqdck,2025-2026,0,2,1
17iz3i6kzdxc115bdlgcgqdck,2025-2026,0,3,6
17iz3i6kzdxc115bdlgcgqdck,2025-2026,0,4,1
17iz3i6kzdxc115bdlgcgqdck,2025-2026,1,0,8
17iz3i6kzdxc115bdlgcgqdck,2025-2026,1,1,3
17iz3i6kzdxc115bdlgcgqdck,2025-2026,1,2,10
17iz3i6kzdxc115bdlgcgqdck,2025-2026,1,3,7
17iz3i6kzdxc115bdlgcgqdck,2025-2026,1,4,2
17iz3i6kzdxc115bdlgcgqdck,2025-2026,2,0,10
17iz3i6kzdxc115bdlgcgqdck,2025-2026,2,1,5
17iz3i6kzdxc115bdlgcgqdck,2025-2026,2,2,8
17iz3i6kzdxc115bdlgcgqdck,2025-2026,2,3,3
17iz3i6kzdxc115bdlgcgqdck,2025-2026,2,4,2
17iz3i6kzdxc115bdlgcgqdck,2025-2026,2,6,4
17iz3i6kzdxc115bdlgcgqdck,2025-2026,3,0,37
17iz3i6kzdxc115bdlgcgqdck,2025-2026,3,1,16
17iz3i6kzdxc115bdlgcgqdck,2025-2026,3,2,9
17iz3i6kzdxc115bdlgcgqdck,2025-2026,3,3,6
17iz3i6kzdxc115bdlgcgqdck,2025-2026,3,4,4
17iz3i6kzdxc115bdlgcgqdck,2025-2026,3,5,2
17iz3i6kzdxc115bdlgcgqdck,2025-2026,3,7,4
17iz3i6kzdxc115bdlgcgqdck,2025-2026,4,0,33
17iz3i6kzdxc115bdlgcgqdck,2025-2026,4,1,17
17iz3i6kzdxc115bdlgcgqdck,2025-2026,4,2,6
17iz3i6kzdxc115bdlgcgqdck,2025-2026,4,3,8
