id,temporada,liga,xG,npxG,npG-xG,npxg_goals,shots,np_shots,xA,key_passes
9uthj64y9f77y63tq7did539x,2022-2023,Bundesliga,0.93,0.93,-0.93,0,21,21,7.37,52
emtrl7rrhp3ybsibf1f89kyj9,2022-2023,Bundesliga,0.93,0.93,-0.93,0,20,20,1.62,23
ckjid5lfgbx8tdyoi32vbwn9x,2022-2023,Bundesliga,0.91,0.91,0.09,1,9,9,0.25,4
8cho2d1nz18i5o0zt6aysd68l,2022-2023,Bundesliga,0.9,0.9,0.1,1,15,15,0.18,4
bt35y17wl42b5t5tw6z68uwyy,2022-2023,Bundesliga,0.9,0.9,0.1,1,9,9,0.37,3
aahyom322jdc6f21960ycuzth,2022-2023,Bundesliga,0.89,0.89,-0.89,0,10,10,0.59,4
52t6t7cdsr0fjs9ukmwo9y7rp,2022-2023,Bundesliga,0.89,0.89,-0.89,0,14,14,2.73,38
cab22ojcuhdzdwmbtl20n8i51,2022-2023,Bundesliga,2.45,0.88,0.12,1,10,8,0.48,6
6o2v57d92t1mejod24gmufcut,2022-2023,Bundesliga,0.88,0.88,0.12,1,17,17,0.76,5
byn8dfwg5zdefrca7wgn32qne,2022-2023,Bundesliga,0.88,0.88,0.12,1,15,15,1.57,10
8prrhz0d1i4vxkhgro8p42bxl,2022-2023,Bundesliga,0.87,0.87,0.13,1,15,15,0.49,11
ao00a4lfe5vs9enjgkuu7vglx,2022-2023,Bundesliga,0.86,0.86,-0.86,0,6,6,0.86,8
e9u7cmvaem5p7x9px3yq9f179,2022-2023,Bundesliga,0.85,0.85,1.15,2,15,15,5.77,73
b2oa5dzw40auj5cgxfrp4b4r9,2022-2023,Bundesliga,0.85,0.85,-0.85,0,5,5,0.85,14
1zo6iikznwkd2vuhqykt7jw7p,2022-2023,Bundesliga,0.85,0.85,-0.85,0,9,9,0.36,4
22zaq3o78o5feeogqdsvig02y,2022-2023,Bundesliga,0.84,0.84,0.16,1,4,4,0.92,6
d36na8jr6xcc8eronhy8mcz1m,2022-2023,Bundesliga,0.82,0.82,-0.82,0,10,10,1.17,11
6sj31v61vtwwxe5hhwkj80g7o,2022-2023,Bundesliga,0.82,0.82,-0.82,0,7,7,0.66,4
4w8nqkhp6v62vs319a7qckfs9,2022-2023,Bundesliga,0.81,0.81,0.19,1,4,4,0.62,4
x4qyxhfr2vi007sazoqe5vit,2022-2023,Bundesliga,0.8,0.8,-0.8,0,7,7,0.48,10
78e1qvft3ser2tyayjlmemdp1,2022-2023,Bundesliga,0.8,0.8,3.2,4,9,9,0.87,14
7lai6ovwsl01gonutejt4mms5,2022-2023,Bundesliga,1.58,0.79,0.21,1,16,15,1.33,22
9qzxygb9hyzag1szans0k2jth,2022-2023,Bundesliga,0.79,0.79,0.21,1,9,9,0.29,6
4oic5vu1qv89061hflasl3r3d,2022-2023,Bundesliga,0.77,0.77,-0.77,0,12,12,0.26,6
