id,nombre,foot
f1ma05bi3t1hfbflylx5d9tyh,,
ah0f7tonnst92d8q91j1wll62,,
dwumn5qew7ae53givnx2p892h,,
fr9ac60188vlmtbrcddhxii1,,
9kvp5ddeay1cmfwoao8eo1vbp,,
374kcix9j7e1cob4uxmfncwyd,,
cnoomjxp6tna0mx2ycuptgixh,,
9z2j13bl5yh4i1vyofautc9yi,,
dr0kn3srxtg7nuw99gjoim7e1,,
fij46jr9fq43444gr1y8tl9l,,
6kih58n0fzlod6c792xpey57t,,
dkwkmrmpb7rq4e660efcu5hat,,
6icypdqtfk2k81ax0i49j5xpl,,
9pv566tidfz21e00y4t0mbap5,,
dve7yj8usejn9x7pmdjvozje1,,
embn1jhcly07i6pjcvcdiavo5,,
aqlu9i7yzmnmyzwuw6u93j6y1,,
6ka58mn83rknx80e4y2jk3949,,
otan631zzfnq2sektkl3ywo9,,
az7owi5t4bclkamjsjuyxzv1l,,
b275i2lg3anqae5lv9gmrzmqx,,
28ucbvor6b0yxreoieehudfc9,,
53d0pvr7ylvfhp6p749iniqc5,,
5tbz2hexz7vind39ot6govqzu,,
c6nl81c1q4unq5js94s6s942x,,
3vx94h32ahujciraspdayj9t6,,
3kti58d195gmtzwrjh5nprx05,,
9qo448ueot8pfc5oqo378wag9,,
9psfk94nduz6icnuwty5v9all,,
29dp5gmu5xbd04mozwxq5tjh1,,
5ga7g20wsa7oqjbh4ijoeknl6,,
7x6mnev1ob4u5ffmdsvusb4rt,,
3kdl679ra6mlobdg09xqf7fft,,
a2zavv31d2aadyddk0kjttdgq,,
2zfjgh5747ge9r9q0thbk123t,,
am6ppbdrbz4ml3xsbty53o73d,,
20o2dr1mdk18xhxmkujzgak89,,
5ilkkfbsss0bxd6ttdlqg0uz9,,
154gonr6x9vuraxmzd9zi5xck,,
e51jmlxup2pdr8ikl98etxgd0,,
eziqega9e25bg939pfh4vjp3p,,
avh60ensgiwz1qalvn1bbqkfd,,
2k5g68ywtr79lc45wozvifqlm,,
7rnd1uiknmho0s7a0objtnlcl,,
dxze3b3fsfl814bjcs7q6wcet,,
7jn9kl5wq29d41ekc2fz2rs2d,,
43n6lws8fguddvg3e4ukfrpw,,
9jxhgh1vhc531ho0ez5alfazu,,
b3974hgsmyff5xtq7qf1onhlh,,
1ehcji0j9s8b0qsj8v5zinjvu,,
85gmjxvy1g5aj1lcizegwuaui,,
4cetkl0w2uq40ccti5ka6a4t1,,
693z0rzfh3m0h0wsma9v8c9ux,,
1bnn3tokzwvl4vvw34yxsq9gq,,
9prtaifv6stlujgywgq4wd08a,,
atzboo800gv7gic2rgvgo0kq1,,
d7ofv9d9sbp263uo76cm2qxhw,,
ehopba709zukxj4vgcync942d,,
d0azo0spzov2hg6ul40l58e3u,,
3trkre1c81pzretsjsi8jk6sq,,
40zl8kgb2t0glvixqhe6fk6qc,,
drh7wx5zz8c4dwa9o8mrigjro,,
b8if5dg0k9prjik99aiutewh5,,
5d6d4oc2rpau0mbbbt2dmtzv9,,
2w7xspkzg7b9ghl20me202ove,,
dqfk7czrayirrvonirtk2mk15,,
2t5s4f41jefzuzth0bhcixtcl,,
6nwn2522yescgrx57wkcxjhwq,,
3gem1jrrkgye0omb88fk1lsk5,,
1c4nu9s3t3p83pufjf3n3xqay,,
5cs6o0g04558bdb1gehmc3ht5,,
3vtjjrqof5z2tjj84ehadqc45,,
6nb8hub5usi3iasywa2fjf1lh,,
didsdryngjutw2x6tpwnnju5m,,
3f3jcsa7gk6in9fskp9w5a5t5,,
cr5wtg3ulqjts3lu3xpnmlmac,,
bn5iwjd1avm2zrxp8qy5vrbis,,
4tb2hobv1dwon0e8djvuohxxw,,
407kah9emo9q5aefwuwo4ptlg,,
759tgxt9xusnioh2clkiau4us,,
398isvyux7zpjiwa2hzsxyc16,,
1vz038uyzmq8saskeeo0qhm8l,,
cgm6zre07l5qauif32jtfqsk4,,
bl8667xvrhy0tft8x3lgopomh,,
3wgqz1w42vny9fo4uh3iw0ydw,,
b17tkj4ea4jld8yupekcolall,,
9rm3r46uzxlmuqnp0jo4danhm,,
7vhnftizqlyu31st2vsmgh6tx,,
v78uhwxgzojcec8lsdvucusp,,
8nh6qf9i1d0qw7nx4wk25qzth,,
4ynekiqwgd0l8h7cuyvdl28ve,,
7uxt9a7t22ij4reg1uire5uqd,,
ot85dcabdrz0p8rsxk2angno,,
8jfjglichcg0py57hhri5v0fd,,
6q793p9lurdevqmetgoke54wk,,
56bidwsegakrtx3z1qbbpnc6i,,
10zt8rbgbmyqxr1m13wm5gfs9,,
en2qiiaubgikr1aeklrzkku8k,,
18paf5a7rfe4kutxjl4cwd695,,
4jwkz8almo2997hvp09zl0p9l,,
72m84nwa6dshu3ibmy13dz5rd,,
6f1ljb0an6d0g4nbap6xgxsyd,,
5wengf05apke7rv3kms186j56,,
8mjj0wgufggpc1ai2dk21h90p,,
8i46yzejeiwdmz0tywmy42o2y,,
37d7oej48pb143o5eilue1hhx,,
c589fk8pfqvbukvtdqu1yhjv9,,
7w8raplugv51unjcao6cq22tx,,
7z5ugeh3ejhwa3c8tg7idkpud,,
bdmomasg7lrn5pwihecvgpuga,,
552xyc766gp97a5zu8tcx4xzo,,
bf7ph89zhr5y6rtct5k9bvqc4,,
9s9i1a7hdq5bud8ma2dqi295h,,
6yovfcug6e9hykfauqy0fq67d,,
bhsh1n3qfg8awmctxlh8k7yzt,,
dxxc4dioaioidmvamkzqr4b85,,
cfpaejad8i9p2r1fj0wx0g222,,
9sxg58hszjq17avxgumftdu22,,
65z99j774kjnbf7vm0u2q0jit,,
5tbabvk43ljv3z3wd9mh0y8r9,,
bxjc2heo4ve54cyvw98qcck45,,
2kd2kqh0ykd5iuziic6590gve,,
8fpslckj732nwuqwnyk9bljpw,,
7zokstl625tj96c64ow4uvjyt,,
